block_number,reseve0,reserve1,timestamps
26002796,200000000000000000,28100000000000000,1647430918
26004951,199631485262065700,28152027982422400,1647436261
26008174,199396315998846561,28185330568201075,1647444060
26009266,199663276646370080,28147758155317119,1647446900
26013506,199639421873521494,28151131631392696,1647457242
26022898,202514256505570002,27752688102670586,1647480316
26032166,202444569919166760,27762270031821570,1647503018
26041396,201157260289206577,27940469794724742,1647525555
26081798,203706199906290058,27591891399874388,1647623249
26090989,206064459301301271,27277058564552025,1647644510
26092460,205156634755790299,27398123599613383,1647647932
26104974,203279689500033444,27651860295019426,1647678137
26124526,202896864177026631,27704190750930920,1647725095
26146065,203670214124090768,27599310404205541,1647773373
26166192,204070214124090768,27545374704871471,1647817419
26174144,203051921442681788,27683928697525395,1647835645
26184947,197271390584333143,28497575986355601,1647859524
26184960,200420739909286133,28051096277556254,1647859554
26186509,203088887273544591,27683656840710490,1647862776
26188246,209490774509103864,26840124864574929,1647866458
26188261,207077918584541331,27153804968220852,1647866488
26188688,203890726586224640,27579546765236082,1647867370
26244458,203642986781309785,27613199340147600,1647990175
26251556,203231309798348943,27669302528079930,1648006055
26299563,204377207278969983,27514629716743874,1648111021
26346081,206821647858887515,27190396338900457,1648213068
26350559,204046499700442131,27561313907853012,1648223854
26358841,200184759921313817,28094595697065097,1648243250
26358845,202999606771439025,27706181061746472,1648243258
26359158,205443364851397639,27377591762938857,1648244014
26371092,204808273730412104,27462742542629283,1648271389
26400072,204887489610799655,27452156433188097,1648336244
26413302,207823788619538495,27065437840473290,1648364242
26415235,206585891567927481,27228106455308058,1648368371
26417304,205731370857677308,27341540744620352,1648373129
26420987,206931355748298374,27183461383313556,1648380986
26430196,206375207949666496,27256936840450152,1648401902
26450695,207934324567854931,27053169587794400,1648448630
26494033,210689356784451021,26700462298693204,1648544150
26506552,210666492704467008,26703368876066424,1648571878
26507366,207051542701734454,27170990645769604,1648573686
26511775,210945626117748314,26670887704422186,1648583822
26519573,209018342849997222,26917550394336764,1648600745
26544665,207931235954169298,27058704297618789,1648656539
26559666,209757717750831707,26823789216156840,1648689700
26560342,207664819645465367,27094939538458449,1648691242
26654349,209200408005675113,26896647538769564,1648899902
26660549,210254276842558457,26762234448926768,1648913160
26680547,200944655263996099,28005840370555209,1648956782
26680547,209242602892804157,26898411058009500,1648956782
26685225,211307734839042577,26636311113915635,1648966895
26702412,210166668916008099,26781363813340505,1649003937
26767210,208588662175154526,26984578778131008,1649148851
26772570,211793272175154526,26577485867757906,1649160931
26772572,208497502738759244,26998866627591987,1649160935
26777028,206416267737178178,27271907444798349,1649170271
26781992,209441317184584875,26879172443060923,1649180549
26788971,208355373317595153,27019687675807050,1649195402
26789500,209425373317595153,26882050225409973,1649196614
26790602,208258351503880116,27033143028158505,1649199133
26820396,216178042987716302,26045645272855081,1649264035
26820396,207310093457848166,27163132913181159,1649264035
26821733,216742701958023386,25984390125706697,1649266988
26821735,207484278038774020,27147362070041708,1649266992
26825090,205713106531663802,27381801756229907,1649274237
26852827,197327198473459637,28548960720646862,1649336870
26852829,204305911324108223,27576606812209631,1649336874
26897031,206964726614984713,27223387405297464,1649435337
26903545,197732985036772792,28498215193256764,1649450184
26903546,205132573571104262,27473194194718197,1649450188
26903617,196262185725823761,28718626066864608,1649450352
26903617,205116303161522919,27482507416929709,1649450352
26924882,206261532218581240,27330371111571408,1649498076
26932426,204450504771470129,27573192655298255,1649514542
26932485,206261532218581240,27331813120411229,1649514664
26968986,206936684465373609,27242906913397953,1649595664
26970869,208292123143605624,27066155005346128,1649599802
26970880,207043215328502288,27229912349426864,1649599828
26977380,209562760181360735,26903501150647831,1649613759
26985344,207856534689248914,27125007605817388,1649631019
27006535,205156497670970533,27483070363735421,1649676798
27007881,203507273867519277,27706463460858734,1649679614
27023076,206952532623849154,27246578674248411,1649712226
27028571,204863891577560870,27525200547699299,1649724740
27030967,205343042045003502,27461165075702382,1649729812
27036891,203991531243617874,27643651761334884,1649742673
27037242,204891531243617874,27522587823516076,1649743653
27049480,203577529333947580,27700768361116204,1649770363
27058647,198086921597888968,28470893450406736,1649790042
27058647,203536994891872176,27710759504628977,1649790042
27058656,198236160462314620,28453974789575889,1649790060
27058656,203513856275640207,27718238358317820,1649790060
27111990,202898702457900307,27802528138395230,1649907045
27131215,212198689431097940,26587528370028235,1649949477
27131215,204533227172396990,27586969658639393,1649949477
27134838,204194828438567953,27632825306073986,1649957083
27135554,203523494325854390,27724248059771955,1649958579
27148373,203190154388220092,27769867432271252,1649985641
27153052,202502582310187190,27864440246880073,1649995846
27171817,202392115776043468,27879694547565953,1650038207
27175411,211749984995829825,26651140307941537,1650046238
27175411,202987122115921102,27805120002423924,1650046238
27175875,195680989022227685,28846402479566439,1650047198
27175877,200900138041192766,28099196862993404,1650047202
27179921,202149045856296102,27926113309773380,1650056390
27192667,203149045856296102,27789057553396318,1650085046
27211204,198220153325333129,28482132501529416,1650125781
27211204,182015276466562803,31025535855596116,1650125781
27211205,197619530961622337,28582496296965099,1650125785
27211209,200694953982713444,28145795798583615,1650125801
27211230,204721976372594037,27593776960199093,1650125885
27218411,204641135786902805,27604710291419372,1650141022
27221227,201852519058234096,27987220200312084,1650147007
27225880,202491362310331089,27899186928449960,1650157249
27236604,203068076063123279,27820190208505290,1650181420
27241609,202367430525890540,27916800341355184,1650192280
27244420,203253587803797194,27795450540633338,1650198449
27273195,202869707737195126,27848204725584824,1650260694
27283520,200832993005477207,28131472512004008,1650283439
27289397,201159333550647356,28085971549455330,1650295845
27302648,201959333550647356,27975050025177840,1650325173
27308890,202110485383201026,27954191116806766,1650339216
27314236,202915484986076064,27843623554988856,1650350919
27337514,202915484994233759,27843623553872833,1650402090
27343565,203704826416313404,27736053958451180,1650415540
27400499,203943916559656760,27703635506213512,1650542144
27424490,200391934390519997,28196164890626019,1650592998
27428819,203461281076040395,27772064155017321,1650602104
27443539,202993811456250991,27836212225156319,1650633807
