block_number,reseve0,reserve1,timestamps
23902205,10000000000000000000000,48878837522591099299,1642585997
23902205,14735324246066724148598,33203209576237805325,1642585997
23917317,15148737719332646631611,32299728704169189333,1642619270
23917321,14983793062740973194881,32656360615261668363,1642619278
23917339,14766220948064839027612,33138981926462430166,1642619314
23973155,14658610816668978212405,33382990087000300504,1642739348
23999856,14350123274757360132933,34102790469791933404,1642799244
24019417,14165388017180889306115,34548873881534371816,1642841072
24039100,14497909212003713335713,33758790558811550148,1642884018
24074526,14359791442927052856988,34084472099123885051,1642961949
24101005,14501361695715932073948,33752709310674749408,1643018670
24133246,14610147225157040311251,33502138754997914972,1643087191
24167435,14785030227544984250923,33107037429693158716,1643160266
24187433,14646506593107406608391,33421099137281452736,1643203851
24188669,14404013612895312058249,33985439636737473292,1643206412
24211873,14507510344178990681510,33743709337079621235,1643257151
24220072,14719746638515140778726,33258615133590932197,1643274575
24222644,14866810958246500039928,32930594088777043005,1643280519
24224852,15001042854302071019060,32636801622060620826,1643285331
24225967,15184094915600886317949,32244514391919321695,1643287760
24228671,15043089287802245304128,32547666153148875936,1643293466
24249245,14878968677479332589777,32907759409518062910,1643337980
24250035,14931399712980431181728,32792550528047702907,1643339712
24254370,15015251702946550872327,32609968348283967485,1643349318
24273578,14943902397954068138970,32766132355138424821,1643391687
24284376,15014254377427844334638,32613059213223240133,1643416395
24291105,15078947063456960598976,32473558491713543264,1643430786
24293136,15163597640351756635597,32292816117205033169,1643435360
24294888,15225939560636813650834,32160989688589649390,1643439182
24296131,15308914736027109929503,31987195440169200841,1643442306
24314035,15386210961497940278851,31826979961463365447,1643482641
24314906,15454663923645244989878,31686430547046835084,1643484567
24322377,15633867283484770376973,31324301685878044444,1643501140
24322839,15685339397445017793315,31221817013624639609,1643502092
24323220,15741953431315235123669,31109867169002908887,1643503006
24323635,15793410691592056357297,31008809729411152974,1643503988
24325648,15844863372131629555781,30908416600047748346,1643508526
24327344,15896286613156288703042,30808729286844174532,1643512406
24327346,15998126400131579724769,30613193795630556484,1643512410
24341293,15965443597256763521338,30676050526095496946,1643542715
24341782,15902625655638776248907,30797590503654441866,1643543728
24344753,15845098829509099440028,30909739926596370638,1643550368
24358673,15931488119947314850903,30742630427611871248,1643581708
24359569,16042002385636077853089,30531473699453501553,1643583684
24360536,16074933813860325074998,30469113575795052646,1643585678
24362709,15981511906247750971287,30647760494424201242,1643590416
24363665,15898681582455845345260,30807912298184973688,1643592388
24364533,15945346195124332297892,30718021558702386748,1643594177
24365081,16081947890655630568942,30457875706698652238,1643595309
24365158,16140547347933656428596,30347626662193623127,1643595469
24365460,16236103006907295523909,30169551982050233799,1643596093
24368570,16229512180319905673506,30181840743717158331,1643602879
24381009,16182068181674993101147,30270596764465494432,1643630744
24392569,16247657209055424645578,30148764632602423964,1643657118
24395668,16340797689482655594973,29977433089442185578,1643663770
24395745,16363195689061802127695,29936522805670837869,1643663928
24401189,16293633863761823061772,30064714300755209378,1643675421
24406940,16205309396230363149806,30229070323684790586,1643687923
24408243,16157417169133008405748,30318941976253406438,1643690737
24423006,16109877765759358623714,30408680798475548543,1643723544
24430592,16051075152288633996672,30520417262061571338,1643739461
24431600,16024681684188643756800,30570837205869377865,1643741540
24433523,15998253180288216024355,30621491024072331087,1643745762
24453035,16054959223198903118047,30513659379451005006,1643788198
24456181,16099658052172659957346,30429195200809287230,1643794829
24479593,16030761356440711598169,30560366721262170007,1643845052
24480465,15968023426991710362099,30680798866796679647,1643846983
24482221,15916231970005399090762,30780934667261576466,1643850731
24487999,15859236457711861071449,30891889195698943843,1643863287
24500135,15927176432179099868831,30760508434793962335,1643890242
24512468,15885136747304313357083,30842160438270091548,1643917771
24559472,15942257358278793579324,30731984274419608623,1644020222
24560144,16050520025378347372638,30525311074872668071,1644021920
24560887,16090358760819011986684,30449958464861892616,1644023578
24567237,16165316846762012963344,30309184555525038143,1644037450
24568387,16226680855159187324388,30194907678422215340,1644039950
24568952,16277956347956820001703,30100078293876004909,1644041368
24569167,16346196963742784431361,29974794633879086015,1644041814
24569460,16378096954894136657555,29916586853717439735,1644042416
24577403,16427513951149506955881,29826861408758993256,1644059566
24598737,16587080162038394506178,29540782238749428177,1644109253
24599057,16716939049684133539695,29311989524767608431,1644109913
24600600,16768174249463321992494,29222694535034477277,1644113479
24603952,16722186925870641428979,29303301053045120890,1644121035
24614694,16759883436393709346413,29237589036882356616,1644146275
24614696,16811123738847330842811,29148739406256950310,1644146279
24623234,16975011424772074143017,28868154850262001973,1644164812
24629618,16906826443526712443563,28984930017743406909,1644178748
24630454,16859679977997097472526,29066227465417446893,1644180582
24642173,16774959473733335208022,29213465686610370027,1644207094
24646616,16684434369033812941201,29372446777005931149,1644216644
24657014,16637199136352261713405,29456090010095188149,1644238989
24658532,16569995063245112237334,29575916587974208013,1644242505
24658779,16435104299138400743618,29819390707915394177,1644243015
24660073,16221826655412089149970,30212623009167294744,1644245811
24661639,16034464416985112184833,30566718895488378425,1644249304
24661966,16186558974260627426112,30280356911282253408,1644250106
24668590,15967547967405142863470,30696932238201918966,1644264549
24674447,15883766672085416503667,30859334991960234527,1644277405
24677652,15826501367628627393315,30971329843664799164,1644284655
24678586,15758309283416759878414,31105757627670275671,1644286579
24706788,15816321852200552092293,30992006077650832137,1644349165
24711575,15885525182963406893897,30857396505784819539,1644359041
24711822,15962376567507159524583,30709276112576253930,1644359551
24712291,16030937371558007356036,30578331602692608375,1644360645
24713106,16104643569019037868155,30438801537804377066,1644362455
24714098,16151481052910868446870,30350796468347585808,1644364627
24714586,16220048975150388630835,30222876133713198552,1644365891
24722258,16175600182597094677244,30306175212213491932,1644382215
24724132,16118365743503342565715,30414112722494501874,1644386213
24732125,16074066706305980384293,30498184167858794222,1644403484
24733417,16005136012991921608718,30629928549038556353,1644406148
24739867,15950320002677598832300,30735510297053027553,1644419712
24753070,15918364933180000095278,30797395465776116558,1644448124
24753505,15848118505063677842423,30934314985679664609,1644449162
24756244,15815802074127728695870,30997713271349910197,1644455069
24795400,15966577512096058318165,30705865834423234029,1644541076
24796520,16070224976089213204542,30508413790720443634,1644544024
24798749,16144622168620767928221,30368245605033598112,1644549322
24817504,16070381356623773550286,30508960825427107914,1644593284
24831394,16133003894204461457683,30390889876309432454,1644622446
24832019,16222374046367006739668,30223963932912112451,1644623753
24832859,16291685893738453176686,30095762296196759199,1644625485
24833397,16336093570358278409511,30014195409236512798,1644626593
24834202,16410374135312833191880,29878743703904339159,1644628383
24844465,16456581282483996782826,29795100494892256026,1644650835
24870699,16396298668529923226923,29904974751923017774,1644707700
24888491,16321132649072131930796,30043114779807278327,1644746537
24904167,16227509292697762012376,30216967759538923781,1644781304
24917601,16140286409234123231317,30380753061455875364,1644812699
24970357,16049283519910017815189,30553536816657102624,1644928086
24974629,15897725237960509879624,30845690266519413381,1644937062
25023671,15747941887642846783777,31139955579611969393,1645046477
25040087,15684725433512241399642,31265841176076326547,1645082651
25057019,15392395230924956491703,31861424378277985561,1645122254
25097675,15530562480817129115748,31578812855595916336,1645228530
25112480,15389188632043073620966,31869786731853022666,1645269220
25124871,15206083081175357963841,32254704669413975830,1645296831
25141883,15112802500761718180519,32454389072443644178,1645333728
25156864,15058567041055676899884,32571629652600972995,1645367037
25207245,14958525964486551646015,32790120820865607623,1645478836
25224739,15094194197730635416830,32496275944849611082,1645521874
25226994,15214460674895412230597,32240165624628899173,1645527832
25245059,15320867411792087695877,32016917796555672186,1645578504
25251392,15102789133895893018286,32480620483937057781,1645597139
25263431,14903265354531174535411,32916777022139253510,1645633134
25366215,14788073984001593352113,33173953046341573512,1645910368
25422970,14610249568760029598818,33578935140745956100,1646057130
25427073,14611449225432828689105,33576186450092546392,1646065920
25467169,14786345088064238295966,33180217952829169693,1646161141
25508672,14553946266713771466864,33711637139179180848,1646257420
25595549,14623818299382999645591,33551045170360183109,1646453869
25649728,14685183207654339130542,33411264417016346585,1646578017
25697672,14727929751676898378674,33314581185929135817,1646682311
25699055,14583916291983481121931,33644546371714956748,1646685166
25884037,14736735161532733766367,33296690730765913658,1647139411
25903555,14820764239395506541493,33108472097111791549,1647190199
25903556,14752944270109994691198,33261131256918296918,1647190203
25903575,14794320009637228897900,33168387095460480534,1647190279
25904020,14876483767710293082429,32985742548691249709,1647191533
25904024,14848277557972285049079,33048591749629762928,1647191541
25904031,14655292326038190600268,33485094908061883226,1647191555
25997090,14804904681529854326327,33147713066826844691,1647416839
26006368,14956340267428537574558,32813083334252750554,1647439824
26013387,15113671138926888456526,32472518546168866319,1647456990
26020816,15272749719088801786643,32135294003862704615,1647475256
26021230,15431554844690804641686,31805573714017397123,1647476202
26037803,15273395342452205339806,32135918739758389957,1647516864
26073040,15158900471412172956953,32379371045989997675,1647602881
26096185,15005760103398254587775,32710811059141604984,1647656894
26122341,15273942876378662757367,32138161325971731867,1647719949
26122341,15096755110952810254156,32516495863417208981,1647719949
26142497,15004941489157429453237,32716059492319311302,1647765629
26161127,14801862339109836236164,33166269150136172805,1647806363
26286593,14998300907462073474677,32733163806937048429,1648082465
26287388,15122449003537772999599,32465239711367544174,1648084231
26300288,15175920773639790329459,32351191658961345764,1648112647
26300290,15137801718354396245102,32432901514141642968,1648112651
26304669,14936556516036617871004,32871195684345394583,1648122269
26308665,14752238495027679181875,33283132129980869835,1648131059
26315664,14791752307845514841711,33194487559453828966,1648146979
26349167,14894523855034496000434,32966129477158557087,1648220789
26394239,14932183471868156403771,32883236262197937800,1648322391
26400723,14822786056056429626829,33126656463614027271,1648337714
26430319,14703566256232234838251,33396063014011201244,1648402156
26491986,14623432909835094226528,33579617099767108565,1648539625
26543571,14695247941950609541033,33416004891551861430,1648654034
26561473,14832956432017365029895,33106694311422236713,1648693709
26561677,15018812037282061434502,32698217711994665962,1648694281
26569700,15122489252694138740946,32474712213552040932,1648712502
26570883,14943160155169124111682,32865605727785085162,1648715200
26580018,14762050559344841486052,33270033764884164769,1648735739
26622626,14641051685345335010838,33545816540594009218,1648829994
26635444,14759130082380892098784,33278236547746493472,1648858818
26691463,14811721563245974642560,33160429858980674999,1648980160
26691472,14680146282555013790539,33458534622168362044,1648980178
26691474,14725672248698999319102,33355403404938399476,1648980182
26700308,14399687449296131215248,34112786004003903660,1648999213
26700309,14647107979923484290334,33538248732077603441,1648999215
26700311,14705829494481478823033,33404728073944753930,1648999219
26793401,14623812340524076892161,33592641093858826910,1649205045
26809744,14500773742369600304076,33878531242012953907,1649240522
