block_number,reseve0,reserve1,timestamps
24615620,30000000,150000000000000000000000000000,1644148354
24618781,33416265,134706274833407661037803175550,1644155281
24629490,103416265,416887399454562546918862063744,1644178484
24629661,53450358,807770399454562546918862063744,1644178838
24629806,150181785,288045625678829399322047595514,1644179136
24630878,48604588,891834471466829399322047595514,1644181476
24630936,126917162,342173081479204864362948430740,1644181696
24631202,59587074,729973081479204864362948430740,1644182656
24631261,43103295,1009973081479204864362948430740,1644182778
24631589,219806733,198530819837534077050506443972,1644183582
24632827,55833810,783331219837534077050506443972,1644186262
24633067,250833810,174771526368005939874652499633,1644186778
24633653,95567764,459571926368005939874652499633,1644188094
24634887,272250782,161637505257618284492300287699,1644190934
24665314,81117311,543643505257618284492300287699,1644257532
24665774,203092219,217529252663565604209704996535,1644258574
24666690,52710939,839995122663565604209704996535,1644260500
24666717,30314341,1462460992663565604209704996535,1644260554
24669484,78300320,567241617452276042510661410983,1644266393
24670437,280645812,158603750786734563614161933675,1644268691
24670729,100514582,443691296186734563614161933675,1644269347
24671171,75175895,593691296186734563614161933675,1644270259
24671317,57726444,773691296186734563614161933675,1644270559
24671970,265080867,168882437084757903938555332160,1644271905
24672139,44012946,1019696437084757903938555332160,1644272255
24673103,46026764,975209465191343131353903431440,1644274373
24674556,209660348,214590307023710633073322973004,1644277627
24674843,40083812,1125156867023710633073322973004,1644278221
24675070,45083812,1000704796218888941614703761555,1644278687
24675082,50083812,901071647160925246092043901934,1644278715
24675122,198159744,228252712995850868477990793149,1644278795
24704160,42496412,1066852712995850868477990793149,1644343745
24706337,191592940,237187779769611897593484132540,1644348235
24707714,74170241,613821779769611897593484132540,1644351077
24707816,45012842,1012625779769611897593484132540,1644351285
24707855,207435719,220253711243658588884263990329,1644351367
24707954,207359513,220334900131658588884263990329,1644351569
24708720,47897470,956089345231658588884263990329,1644353149
24708973,216247470,212263590677035189979450346153,1644353671
24709457,52042314,884018035777035189979450346153,1644354671
24711804,155337811,296761659844712972386841131389,1644359511
24711960,56219179,821549104944712972386841131389,1644359835
24712019,160657513,288047941645838033887135441458,1644359957
24712096,40232495,1152835386745838033887135441458,1644360181
24730043,151950228,305915780432468442041368427111,1644399188
24730308,44712978,1041815780432468442041368427111,1644399738
24730838,44896117,1037578731673472157486188196641,1644400830
24730838,209213028,223185314723381080142087063156,1644400830
24730838,205326709,227422363482377364697267293625,1644400830
24731082,47158861,992477818360377364697267293625,1644401334
24731125,47349904,988485425679085179934363245628,1644401420
24731126,207698759,225872052448149197124471315621,1644401422
24731126,204101986,229864445129441381887375363618,1644401422
24731225,49763521,944919900007441381887375363618,1644401628
24731326,49966595,941091035334725891492075658300,1644401834
24731326,228088476,206645859074698173399422415285,1644401834
24731326,223951412,210474723747413663794722120603,1644401834
24778947,224603550,209865436931972585398293956060,1644504298
24778947,317999853,148358844241134210557366613966,1644504298
24778947,316703105,148968131056575288953794778509,1644504298
24780019,316491287,149068131056575288953794778509,1644506626
24780808,224350429,210474723747413663794722120603,1644508267
24846669,28937917,1636049135002413663794722120603,1644655943
24846682,15485275,3061623546257413663794722120603,1644655969
24846925,15540140,3050846692139360652522140564233,1644656472
24846925,38540140,1232367554337681806431663253750,1644656472
24846925,38207029,1243144408455734817704244810120,1644656472
24846982,38780134,1224827132591072950313306364689,1644656590
24847120,130920992,363573936041957315983426346615,1644656874
24847121,124659352,381891211906619183374364792046,1644656876
24847560,40041750,1191345211906619183374364792046,1644657910
24848000,40193436,1186862631754034400374892985262,1644658822
24848148,40042656,1191345211906619183374364792046,1644659126
24848637,40194345,1186862644475159116539759386180,1644660150
24848637,128506673,371994079943638506117821727610,1644660150
24848637,126981128,376476647375098572952427133476,1644660150
24848817,50677797,945026647375098572952427133476,1644660522
