block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
26375971,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,34539159464,10156423282438450,9999,1648283160
26375971,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,0,0,0,1648283160
26375976,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,34539159464,10156423282438450,9999,1648283180
26375976,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,0,0,0,1648283180
26377189,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,1692418813753,164497816169259517,525524,1648285804
26377189,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,0,0,0,1648285804
26377940,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,1269314110315,123378845229510137,394143,1648287406
26377940,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,0,0,0,1648287406
26378014,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,317328527579,30844711307401834,98535,1648287558
26378014,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,0,0,0,1648287558
26378080,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,52888087930,5140785217916505,16422,1648287694
26378080,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,0,0,0,1648287694
26378245,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-300800,-296000,343500456216,99997026581401658,14795,1648288036
26378836,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-348800,-297400,52888087930,296999999999999998,4822,1648289424
26394824,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887200,887200,117868311928,999995606194672595,13892,1648323736
