block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
24261905,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-42600,-41000,132814575060631655940,6386143206327678,1314512577888100287,1643365757
24450422,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-42000,-39400,540905595946233071356,537915670389650541845,7058463454355483,1643782680
24498679,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-42800,-41200,651809197821379272697,111413941035464382188,4615874333204240760,1643886851
24537520,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-42000,-41200,1754555134517922936462,553760727271789802500,119478688257932969,1643971801
24611836,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-42400,-41600,5912673776144285048540,720824675408586860084,17881496357178020127,1644139601
26676192,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45200,-41200,1392335257386901716113,1572207231599031084369,9838823863462127071,1648947454
26676192,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45200,-41200,0,0,0,1648947454
26676532,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45200,-41200,2088502886080352574171,2358310847398546626556,14758235795193190607,1648948154
26676532,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45200,-41200,0,0,0,1648948154
26676628,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45200,-41200,1044251443040176287085,1179155423699273313277,7379117897596595303,1648948354
26676628,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45200,-41200,0,0,0,1648948354
26779383,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45200,-41200,1044251443040176287086,1206810183705409843136,7036756896390319325,1649175164
