block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
23111295,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,34920,8120484874935975516,259357911677122146,39338786904941062630,1640799115
23111295,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,34920,0,0,0,1640799115
23234246,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,34920,71906893567558063201,5375074307900916606,288509102044348795511,1641067810
23234246,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,34920,0,0,0,1641067810
23313524,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,34920,21977154764633398897,1642802714390083181,88178043467792497308,1641243440
23674110,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,887270,16616125620627558377,4141338931913410185,66668204457468044157,1642083700
23674110,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,887270,0,0,0,1642083700
23754867,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,887270,1495451305856480254,372720503872206916,6000138401172123974,1642267246
23754867,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,887270,0,0,0,1642267246
24033832,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,27850,103797299991985491188,79450928648214547,416461681621391165840,1642872485
24033832,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,27850,0,0,0,1642872485
24149106,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,27850,52936622995912600506,40519973610589419,212395457626909494579,1643121754
24149106,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,27850,0,0,0,1643121754
24230467,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,27850,50860676996072890683,38930955037625128,204066223994481671265,1643297184
24247865,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887270,887270,4043257234352705872,1007725806765596478,16222596417983890746,1643335132
