block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
22847628,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,11400,13860,177955076151968817604,5271559225833617929,21282511558463044642,1640219136
22850488,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,7140,16620,102431841852842749,9637027991296335,46995846999999996,1640225293
22872181,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,10800,14640,20089935276008857466008,979387616921213435277,3452475092495989363312,1640272639
22888726,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,12060,13320,836103935997464195595,13607931617203565012,49387818914831969213,1640309858
22914353,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,12240,13140,1034282101871675390584,12029507489380567634,44006368193894710455,1640367498
22950337,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,7140,16620,6103077208304965192,527168796139227019,2970154527447454183,1640446599
23002590,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,4080,12480,1929968015240191583715,50876549800398325333,1066345602783612493656,1640561716
23016184,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,4080,11400,1911175268660173830413,109012602102934970,1035384347515013328908,1640591827
23079107,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0,12300,1284173682296099450239,16543232232996163785,1035756010473005200791,1640729664
23567914,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,11040,13080,133820087501959078276,5000000000000000000,7701912819215761925,1641844463
23893412,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0,12300,6748281778132193828,1178335496827344124,2686309350744147007,1642567314
24718846,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0,12300,17031367992848676640,1961171803837258603,8938680509306012436,1644375047
26130761,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0,12300,6783209402951187458,2000000000000000000,1335502047305169412,1647740017
27293929,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-4080,9780,395544538077859595,100000000000000000,134156811042815368,1650305968
27295962,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-4080,9780,395544538077859595,100000000000000000,134156811042815368,1650310328
27297213,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-4080,9780,395544538077859595,100000000000000000,134156811042815368,1650313162
