block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
23430864,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,7000,16000,78111125279719707254,10000000000000000000,24444867428247029425,1641535819
23464389,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,3200,17000,94199776732141099255,16501368519581526053,45776766616534957871,1641612554
23464532,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,3200,17000,35381767830905737698,6197972119533067195,17193914727434432887,1641612892
23467730,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,3200,17000,572070503600751563710,100211980607356032988,277999999999999999999,1641619868
23467768,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,3200,17000,704177576882339732481,123353728665438717531,342197972349772557039,1641620020
23507062,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,3200,17000,706246197800559576791,125306226523080657241,338840641601103334067,1641708219
23530082,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,7200,15000,15903423214677885600,1919800407301206867,4019613234665896123,1641758748
23593042,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,3200,17000,259679417734715241822,45730717012745463224,125528016094244110278,1641901552
23851095,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,3200,17000,9650942831282497509,1930098690928868981,4056461130330284253,1642476516
24693809,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887200,887200,208660588674252671781,105899284634426240029,411138199999999999995,1644320305
24971549,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,12800,17200,45366630653638593819,1970476213988717712,11190827704971026755,1644930546
25906100,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,7200,21200,1349492393182448206053,195587714283408788237,811940181838097898351,1647197357
26089395,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,7200,21200,1082588582897529920013,117980899499563271606,825262911813508000216,1647640710
26471529,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,7200,21200,2447217633410955769975,152988110197369845862,2475967934306281345248,1648494983
26505765,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,11000,887200,24514933123476079095,10000000000000000000,17608781182810183650,1648569730
26565371,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,11200,25200,3505474426933626073188,415793798713538033388,2577150683643495445030,1648702642
26691432,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,11600,25400,1722676866285893319299,200885897039987343844,1257513726579792150175,1648980094
26747740,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,11400,25200,1709788555285345385606,200054000000000000000,1243972383568648934816,1649105855
26975171,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,11000,887200,6755892027371440766,2855139185892819491,4276589422441115640,1649608949
