block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
22885982,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45720,0,3372347204082255195,5689378526843055058,912115060000000000,1640303814
22917172,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-26940,-15420,32475864534480358140,18186064487851914554,3486709480000000000,1640373569
22926070,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-26580,-12720,25693608346972363,19999999999999994,2830356427288986,1640393315
22992991,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-25440,-11580,60993424685956298,45145494103301354,7066080000000000,1640540125
23122516,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-26940,-15420,26248604639602604103,9362293961751028695,3596628060000000000,1640824976
23164327,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-25560,-11700,25029731847319893066,18681124558316096935,2875623350000000000,1640916076
23324317,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-25500,-19260,909072054869651018,169107741230012679,70000000000000000,1641267189
23393157,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45720,0,7381612603552334484,13569235668018018135,1850172050000000000,1641448416
23393243,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-26940,-15420,36780042474769123528,24878181783130486286,3394553340000000000,1641448592
23561838,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-26460,-16740,557165061418417421,353934334165003888,40815176652712981,1641830209
23562279,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-26460,-16740,40952785736482856567,26014906453294346341,3000000000000000000,1641831251
23661736,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-23520,-16440,11538036807543726722,5309999999999999999,658587564014393299,1642055862
23718300,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45720,0,3295440043593708433,5684278790900814781,874290250000000000,1642185191
24004506,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-26940,-15420,171173932886720939960,98805670992053047700,17982006775035902648,1642809127
24007817,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-27120,-13260,169122963277081,135266744332275,18131570987344,1642815957
24531672,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-27480,-13620,194226674822135883117,159188682206202936708,20320413751330802072,1643959229
24621383,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-23460,-19440,362828201009454758041,89354369648016474856,13294366902603993096,1644160881
25663323,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45720,0,4979910388855097714,8907444297103210437,1279384790000000000,1646607575
25788391,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-27720,-13800,6023913644577676321,4999999999999999994,626835560827567483,1646881538
25870905,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-26940,-15420,68259970618207059108,42822237140223219184,6723000748557357861,1647106798
25882722,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20700,-20460,3570840403743835417443,52150130021067651411,8607269948479510828,1647136185
26042252,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45720,0,5279788375702717276,9494640330774294379,1349914860000000000,1647527605
26287242,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,228808534159877080,654416816304895463,80000000000000000,1648083825
26314966,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-23040,-18960,503989014101112168,127220776745669891,18637118909738757,1648145377
26551551,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-24720,-18240,14580299350883421582,9999999999999999983,355681611427580030,1648671542
26564105,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,243800068066201615,756149542705857790,78606770000000000,1648699778
26578698,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-27660,-14520,3371484436381851939,3459521618188167728,244384570802157012,1648732635
26816790,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,164715025118435543,542620789995337044,50000000000000000,1649256136
26821816,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,651658343405693296,2123292982651262461,200000000000000000,1649267158
26896337,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-45720,0,11761923557112769254,32397660659230740066,1936794250000000000,1649433905
26904716,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-27840,-21660,2655965813060070746,2146556700387621634,45819578938972561,1649452998
27219102,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,114523085707449850,380010818487390896,34513588881920449,1650142448
