block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
22845664,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-359000,-351400,12214100110155,24999680295608764299,77380,1640214783
22846103,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-359000,-351400,108927557576737,1149996610329363250391,300679,1640215817
22847886,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-444400,-341400,13987449561857,420099627034078738287,247006,1640219668
22850881,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-363800,-350000,63498955867,1033843060416928613,332,1640226111
22856336,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-363600,-349800,769174343362,12590426858532651497,4000,1640237619
22888466,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-363600,-349800,195258193152,3244284957833892438,1000,1640309322
23095126,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-363400,-349600,124022454821,1999078518165846428,655,1640763778
23268934,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-362400,-348600,691688444767,10499301781826998672,3879,1641143766
23269574,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-362400,-348600,93081043609,1412899079653550889,522,1641145342
23295759,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-362400,-348600,21030890457,300273950628775277,125,1641204163
23608155,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-370200,-345200,13813637196,233772030605958654,160,1641936086
24426889,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-370200,-345200,1078759194276,15021838521680971835,13978,1643731687
24564270,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-357600,-343600,1614110460020,20155867153740677410,11264,1644030816
24926455,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-355200,-344200,1594059165206,14016949403597784207,10442,1644831734
25269106,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-354600,-347600,740103763903,849904612647782698,5532,1645647299
25537109,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-352800,-344200,1189106994977,7499916525230737324,6976,1646322389
