block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
22844047,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9180,-5940,111402800358574347991,9000000000000000000,7691898599140673710,1640211065
22844217,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9180,-5940,167470853519067151335,13529621129991609606,11563163757409613425,1640211541
22873200,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-14040,-4920,148643034618384511314,22523039799875386312,30247463036248194821,1640275000
22875288,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9180,-5940,188128485815501889056,21413613913447505575,10004711504551754858,1640279614
22878372,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-14040,-4920,26980830479740119990,5848451367059219066,4667587098112195097,1640286457
22952251,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-15540,-1680,222625777558936418,99999999999999999,42498806409806173,1640451132
23006970,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-10920,-3240,19392843839412968796,7000000000000000000,1385057655533938177,1640571787
23012025,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9900,-7200,81899539787838720419,7853095271154534848,3632633535832208451,1640582865
23052016,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-11340,-6240,1184846453879353148367,188826246873563213191,104600228940874746541,1640671237
23314907,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-16020,-2160,138229052162916233686,62911327551138974276,26040082512760597643,1641246662
23585414,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8460,-6180,5010042566389224528892,404245824816162422418,190575259675934160596,1641884647
23629653,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8280,-6240,75152344967965817436,5093534356972699970,2734000816902775688,1641984169
23644532,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8280,-6240,64279858631021825411,6732516136003856052,1211975126052878919,1642018426
23667007,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8280,-6240,72385357367604708304,6959404580244558626,1654022195472081339,1642067760
23703539,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8280,-6240,18739394731879112770318,1644999999999999999998,501894163638098192447,1642151273
23703622,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8280,-6240,908986580715844945796,79793555057240840112,24345239865753453975,1642151447
23705232,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-22380,-6780,276937271804887953963,14003803284546667826,99999999999999999998,1642155023
23783048,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7560,-6660,1028571690486281263312,42145143551628424107,11404404728336572746,1642327201
23826142,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8280,-6240,43788668595359815990,2437243350656674895,1853260200264544623,1642422615
24083951,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8340,-4920,64031105571940151835139,7240951521519932506763,3801672281909068918304,1642981692
24083988,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8340,-4920,427219090544269058698,48632058528576774436,25199888117122809493,1642981802
24118114,0xF169BD68ED72B2fdC3C9234833197171AA000580,-5100,-5040,232838428186764169397546,900000000000000000000,0,1643054800
24287207,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8100,-6960,2255053185583510206331,92184769137422199109,43546411406456993061,1643422361
24498344,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-138180,1440,110197234638349659435,67168568880872283368,71443542195674194216,1643886161
24574323,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-10380,-7980,22486016143694017107,2158026880813816810,793229600052847293,1644053086
24620971,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-10740,-8640,62812284037403493450,5458206097030854414,1886766937004855393,1644160013
24622230,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-11340,-6240,2238453445268500398529,600089687860509769292,100000000000000000000,1644162740
24673383,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9660,-7320,1297531318740889251537,117000000000000000000,46392129293006616629,1644275033
24673396,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9660,-7320,141256900774145280690,12737309035910347470,5050520407170378614,1644275085
24741649,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-15480,-1620,523568234370092107218,235057727386073359136,100000000000000000000,1644423531
24800426,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-10680,-7140,3019558498041514150,404638256455363246,161600000000000000,1644553420
24909776,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-11880,-6480,27713929142166439777,5000000000000000000,2429077499746703870,1644794818
24949713,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-15840,-1980,70657294900737629776,32078416126702013808,13344865911843591249,1644882778
24962180,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-10380,-7980,2762806019422480922,171197921474121652,135618905411475596,1644910641
24980568,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-15540,-1680,643128971565445027274,290885903667122603630,121925853884561825288,1644950958
25000836,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-15420,-2760,3869146517877354068007,1513208494430364633055,724217230393745438753,1644994481
25022107,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-15240,-1380,67504343799367860872,30000000000000000000,13024746059059845497,1645043115
25029749,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-15180,-1260,74463944566940816494,32999999999999999999,14512569234742497154,1645059715
25052565,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-11760,-6120,40321598451348306673,5902058633251111489,4406814667455620332,1645111126
25186177,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-14400,-540,23209806829114426131,9999999999999999998,4618713914710135124,1645432224
25188837,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-14400,-540,467384546272672946050,196365872740513854133,95381286085289864876,1645438116
25208914,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8820,-6000,98288866530671964460,9000000000000000000,4949872344585574663,1645483228
25208929,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8820,-6000,895520783946122342869,81999999999999999999,45098836917335235819,1645483288
25208940,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8820,-6000,257913210048110351122,23616295236334168040,12988627407988727384,1645483332
