block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
24705210,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-345420,34980,40455828251633463119732,3076277476945723256915,161821098971462220156132,1644345909
25082375,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,28860,64142942409302836220523,85398004752367089600,269999999999999999999978,1645189931
25277604,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,28200,31440,13526604649208642022630,0,9742211310825050123781,1645668038
25341182,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,28200,31440,6939318167204149901687,0,4997876828011317330970,1645843947
25362519,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,24900,38760,692349172713041077016,41373064955118653241,993480231347930120613,1645900567
26267110,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,14370870466788973580,2500000000000000000,82608767189291012541,1648039376
26705988,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-138180,37560,77471323144358688013102,27366566502499329773,505401573939612932641244,1649012093
27056438,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,18900,23580,86991569019182569591008,0,59000987441719489533027,1649785484
27064485,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,19320,24120,206835968192775713542274,0,147393224848912503640425,1649802621
27135562,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,24120,24180,6365132733938249476942964,0,63869208826680498538415,1649958595
27135696,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,24120,24180,3975195551278382243019556,0,39888028326221768325858,1649958871
27439396,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,17940,27060,119346288473275144585,9904664535139648452,56853113262728554513,1650624608
