block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
24759417,1277901539262837389,-611249828557336925,-611249828557336925,54135816055138054484495263356,25671657696358000560,-7618,1644461741,0x284796bfc609bE04fD2834354bD5b6e357FD4330,0x4B0B3f5Abb2BbAcbDC0E7dbcc60B70cE5B25615a,1
24799628,915000000000000000,-412971088295002005,-412971088295002005,52861299976584591507427353583,25671657696358000560,-8094,1644551776,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1
24878942,5401952512774425353,-2090170594123260129,-2090170594123260129,46410591671244902689610463015,25671657696358000560,-10697,1644725788,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xCe1858975E47DC781d766E5721aFe3fCeB1d13Da,1
24878945,-1684729543220038798,607288234403429480,607288234403429480,48266069341695068388896663658,25671657696358000560,-9913,1644725794,0x284796bfc609bE04fD2834354bD5b6e357FD4330,0x284796bfc609bE04fD2834354bD5b6e357FD4330,1
24920695,6498744946524152332,-2071485143163191207,-2071485143163191207,41873028288031405198089547153,25671657696358000560,-12755,1644819207,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xCe1858975E47DC781d766E5721aFe3fCeB1d13Da,1
24920697,-2559898857642012862,762448255416401630,762448255416401630,44202574017150554253753326070,25671657696358000560,-11672,1644819211,0x284796bfc609bE04fD2834354bD5b6e357FD4330,0x284796bfc609bE04fD2834354bD5b6e357FD4330,1
24928465,-153221116512480671,48335693720906161,48335693720906161,44350256444215789013156597089,25671657696358000560,-11605,1644836281,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1
24986870,366466083631617634,-112792415665656584,-112792415665656584,44002155205704694375318897571,25671657696358000560,-11763,1644964777,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
25017320,-740047147914413090,234327024495312411,234327024495312411,44718106111556174257191040571,25671657696358000560,-11440,1645032683,0x284796bfc609bE04fD2834354bD5b6e357FD4330,0x284796bfc609bE04fD2834354bD5b6e357FD4330,1
25096389,3603336032601417200,-1053792441060122035,-1053792441060122035,41465879871859184288223278690,25671657696358000560,-12950,1645225243,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xCe1858975E47DC781d766E5721aFe3fCeB1d13Da,1
25107944,5552221533110053443,-1353927726373518027,-1353927726373518027,37287372694548713022760989561,25671657696358000560,-15075,1645257893,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xCe1858975E47DC781d766E5721aFe3fCeB1d13Da,1
25108459,5120000000000000000,-1027257027219934956,-1027257027219934956,34117040351419682457745235107,25671657696358000560,-16852,1645259190,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x4B0B3f5Abb2BbAcbDC0E7dbcc60B70cE5B25615a,1
25108697,10907166081369593195,-1695250110386489457,-1695250110386489457,28885140143156936649685322920,25671657696358000560,-20182,1645259774,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xCe1858975E47DC781d766E5721aFe3fCeB1d13Da,1
25110043,5120000000000000000,-628500981662694129,-628500981662694129,26945453251701892848568394462,25671657696358000560,-21572,1645263335,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x4B0B3f5Abb2BbAcbDC0E7dbcc60B70cE5B25615a,1
25110687,20480000000000000000,-2006760367473192903,-2006760367473192903,23934131830858064470381347592,96465621299629928383,-23942,1645264853,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x4B0B3f5Abb2BbAcbDC0E7dbcc60B70cE5B25615a,1
25110778,20480000000000000000,-1739828389401863464,-1739828389401863464,22505193681438915647609024522,96465621299629928383,-25173,1645265039,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x4B0B3f5Abb2BbAcbDC0E7dbcc60B70cE5B25615a,1
25111161,20480000000000000000,-1543786888038500166,-1543786888038500166,21237266343128454584607722595,96465621299629928383,-26333,1645265856,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x4B0B3f5Abb2BbAcbDC0E7dbcc60B70cE5B25615a,1
25111187,20480000000000000000,-1379112708468797133,-1379112708468797133,20104587526364618668690429482,96465621299629928383,-27430,1645265952,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x4B0B3f5Abb2BbAcbDC0E7dbcc60B70cE5B25615a,1
25111997,3750000000000000000,-236742896169149235,-236742896169149235,19910148259825017579313332690,96465621299629928383,-27624,1645268134,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,1
25114605,-3695048034478953656,237999174470564886,237999174470564886,20103664609473554337926517086,96465621299629928383,-27430,1645274015,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,1
