block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
22863398,222713749551657391,-1500000000000000000,-1500000000000000000,205318717236860780756144345764,44511133060462399291,19045,1640252979,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xb9e161FC5b41aD241460b95afF77FA87151227D5,1
22881461,-706739319149766592,5000000000000000000,5000000000000000000,214129533261536795957207414955,44511133060462399291,19885,1640293323,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,1
22953443,991250000000000000,-6765127969559692181,-6765127969559692181,202087856913419533443264331808,44511133060462399291,18728,1640453752,0x1111111254fb6c44bAC0beD2854e76F90643097d,0xc590175E458b83680867AFD273527Ff58f74c02b,1
23028377,-18885268316417646,124245163058650702,124245163058650702,202306797168152662256697299515,44511133060462399291,18750,1640619013,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,1
23073216,-914051945960357700,6353150000000000076,6353150000000000076,213502084333586747585121279616,44511133060462399291,19827,1640716457,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1
23229238,-135213588048975075,1000000000000000000,1000000000000000000,215264247538521950625333893454,44511133060462399291,19991,1641056911,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1
23750073,137970474155784625,-1000000000000000000,-1000000000000000000,213484284705254068766533273415,44511133060462399291,19825,1642256742,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x358b5c1151dBA2db02E42A0ccd102a9149802A87,1
23750104,428069804084886712,-3000000000000000000,-3000000000000000000,208144396205450423190131413299,44511133060462399291,19318,1642256808,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x358b5c1151dBA2db02E42A0ccd102a9149802A87,1
23758243,-556913617897607130,4014562500000000000,4014562500000000000,215218710526863104245254964841,44511133060462399291,19987,1642274490,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,1
24772265,-10223673193326251,76250000000000000,76250000000000000,215351165512686294348463306473,45152969370130174173,19999,1644489755,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1
