block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
22868161,-92027462067407931,257,257,5754763012508309030853,1364003256444,-328773,1640263579,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,12
22870566,1000000000000000000,-5244,-5244,5737717920263139640322,23751777865355,-328833,1640269052,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,12
22870574,2110552763819095478,-10965,-10965,5701140204517860512870,23751777865355,-328960,1640269068,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,12
22872225,-267838276613108481,1393,1393,5705770118547588884157,23751777865355,-328944,1640272731,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,12
22873635,-1413769928763910220,7387,7387,5730334014019433067268,23751777865355,-328858,1640275948,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,12
22873641,-1001063498182667274,5269,5269,5747804885345860173667,25113326408647,-328797,1640275960,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,12
22874050,1432160804020100457,-7481,-7481,5722896199430543370364,23751777865355,-328884,1640276934,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,12
22875704,-1100257401330367060,5778,5778,5742109675519329695013,23751777865355,-328817,1640280598,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,12
22877137,-2295967388180375439,12180,12180,5780675012218096905569,25113326408647,-328683,1640283763,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,12
22877568,-8993291765124637701,48031,48031,5781898870253502015083,3099967218748730,-328679,1640284785,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,12
22877568,-73214073493189839243,391770,391770,5791881570948507305679,3099967218748730,-328645,1640284785,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,12
22877700,47985506279564776957,-255385,-255385,5785354501954352494383,3099967218748730,-328667,1640285059,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57,12
