block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
26112368,-82856078749536968023,8018530240067917850,8018530240067917850,24596956973023504589798117307,4287170791830195481082,-23396,1647695917,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x46dDc5355a34f7182ae7704aA6A37A973273aF1F,1
26112370,-288480554562425114249,28684920682808866938,28684920682808866938,25121761589223598775691786253,4287170791830195481082,-22974,1647695921,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
26112779,-128889398334486747001,13215478160500000000,13215478160500000000,25363545208589799902564992245,4287170791830195481082,-22782,1647696767,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,1
26112966,43359798158333060073,-4385239658067981904,-4385239658067981904,25282504704918826000986950189,4287170791830195481082,-22846,1647697409,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,1
26113092,10376293541461622784,-1045265281018080104,-1045265281018080104,25263187898666825692582597615,4287170791830195481082,-22861,1647697669,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0xDEe9DC02C517866D33a9db1453B3867D61a24F3F,1
26113096,10376293541461622784,-1043669254668241659,-1043669254668241659,25243900587445735516578683851,4287170791830195481082,-22877,1647697677,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0xDEe9DC02C517866D33a9db1453B3867D61a24F3F,1
26113297,-10406435120328592338,1067963863049322517,1067963863049322517,25263439507265690459749222011,4287170791830195481082,-22861,1647698219,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26113456,-10395143557276591483,1068456869948554909,1068456869948554909,25282987446887352252838344602,4287170791830195481082,-22846,1647698545,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26114026,-151647674939664873692,15777141843518970130,15777141843518970130,25571637952896408391443008737,4287170791830195481082,-22619,1647699935,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
26114513,-10393013878264474005,1094470802979590602,1094470802979590602,25591661830112291581357312555,4287170791830195481082,-22603,1647701055,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26114641,-10405923931727838892,1097548932728258305,1097548932728258305,25611742023213417284078817495,4287170791830195481082,-22587,1647701503,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26115328,-313537975300836392908,33897276590262110699,33897276590262110699,26231909233291928023612124906,4287170791830195481082,-22109,1647703049,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
26116478,48393135113973815578,-5232577570171726446,-5232577570171726446,26135209678684008878675937586,4287170791830195481082,-22183,1647705801,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,1
26117901,-433636085128448615110,49308393841520327993,49308393841520327993,27037330796311872764794766719,4287170791830195481082,-21504,1647709379,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
26119692,-421956064471297476365,51361543402766026619,51361543402766026619,27977015286675039265071647045,4287170791830195481082,-20821,1647713463,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
26119965,-148232328058728986775,18901071889700000000,18901071889700000000,28322819616710686381180368569,4287170791830195481082,-20575,1647714085,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,1
26120035,126005366445453820247,-15777707903373929235,-15777707903373929235,28031243007140611709577525865,4287171072172990648352,-20782,1647714369,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,1
26120734,100000000000000000,-12392450466203538,-12392450466203538,28031013991068484525950436111,4287171072172990648352,-20782,1647716123,0xf5048d8F9163AF17Db522Abe9FaF37735C911320,0xAC665AfDC614cF92Dc52c73C74360b5Fbdc78356,1
