block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
23390947,10000000000000000,-2984173000473663,-2984173000473663,40168926504355043867614234522,34092026173566048,-13586,1641442280,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xf4Ce1DA492110616024D401F8C659ff395851726,10
23390961,10000000000000000,-2218229134545542,-2218229134545542,35013873018507417029631522128,34092026173566048,-16333,1641442308,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xf4Ce1DA492110616024D401F8C659ff395851726,10
23390996,100000000000000000,-19102549266308292,-19102549266308292,34591958313691740269745726196,3587122848370512526,-16576,1641442424,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xf4Ce1DA492110616024D401F8C659ff395851726,10
23391002,100000000000000000,-18647661879700730,-18647661879700730,34180090627981696986133761588,3587122848370512526,-16815,1641442448,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xf4Ce1DA492110616024D401F8C659ff395851726,10
23391016,250000000000000000,-44732569598884758,-44732569598884758,33192090092825501705736197729,3587122848370512526,-17402,1641442504,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xf4Ce1DA492110616024D401F8C659ff395851726,10
23391343,5000000000000000000,-866190833114533518,-866190833114533518,33092757069917858929142791682,690875059326157660661,-17462,1641443353,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xf4Ce1DA492110616024D401F8C659ff395851726,10
23392966,-3973048257998057327,701842756453165529,701842756453165529,33172438126723912700149836673,690875059326157660661,-17414,1641447906,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,10
23396368,-130054442902592162121,25000000000000000000,25000000000000000000,36010718356640731155381085709,690875059326157660661,-15772,1641456596,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,10
23396369,123010603817762979840,-23292221911801238355,-23292221911801238355,33339613186414437195186435817,690875059326157660661,-17313,1641456600,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,10
23396443,-128804352589127693697,25000000000000000000,25000000000000000000,36177893416331255650417684853,690875059326157660661,-15679,1641456844,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,10
23396443,122304871065665743478,-23376055529528206206,-23376055529528206206,33497174375406098782008349699,690875059326157660661,-17219,1641456844,0x99b5637633352baDDBB6cEE9B7D65e84935623Dc,0x58503919C6Fec346C0379f8370467A2C29c09eB1,10
23396484,15250000000000000000,-2674041300035304637,-2674041300035304637,33190520696380996860072656212,690875059326157660661,-17403,1641456930,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,10
23396493,-129918350044094283473,25000000000000000000,25000000000000000000,36028800926297815315303905248,690875059326157660661,-15762,1641456948,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,10
23396493,117364788131290376158,-22320699118618690487,-22320699118618690487,33469108036346413946122973185,690875059326157660661,-17236,1641456948,0x99b5637633352baDDBB6cEE9B7D65e84935623Dc,0x58503919C6Fec346C0379f8370467A2C29c09eB1,10
