block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
23032965,100000000000000000,-2373212746882126,-2373212746882126,12222363301554875585590524647,73976301733151834321,-37384,1640629375,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23033030,100000000000000000,-2372226116397860,-2372226116397860,12219822662027523746956841669,73976301733151834321,-37388,1640629509,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23033105,100000000000000000,-2371240101052761,-2371240101052761,12217283078516520020609279880,73976301733151834321,-37392,1640629663,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23033199,100000000000000000,-2370254700335569,-2370254700335569,12214744550363601711217743037,73976301733151834321,-37396,1640629855,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23033359,179556701659128221,-4253479938101752,-4253479938101752,12210189099605834685663508703,73976301733151834321,-37404,1640630187,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23033378,3176486291457286350,-74726015194727693,-74726015194727693,12130157998602064255578214988,73976301733151834321,-37535,1640630225,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23033934,208162500000000000,-4862783109348417,-4862783109348417,12124949987909007116815937979,73976301733151834321,-37544,1640631502,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23034516,100000000000000000,-2334566970609124,-2334566970609124,12122449681094332117246258948,73976301733151834321,-37548,1640632744,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23037327,-297922902666135882,7000000000000000,7000000000000000,12129924147014264129152306913,73976301733151834321,-37536,1640639019,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23037513,-987142984863476041,23255735222530542,23255735222530542,12154756175637659420069883162,73976301733151834321,-37495,1640639406,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23039186,-1010128547500258050,23896018905978113,23896018905978113,12180271886914057197234234773,73976301733151834321,-37453,1640642984,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23039589,-2305405568781360491,54915217909402081,54915217909402081,12238909304735409470854486534,73976301733151834321,-37357,1640643942,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23040966,-2224542780058455036,53492634354870429,53492634354870429,12296027715085818519423156349,73976301733151834321,-37263,1640646785,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,4
23043581,100000000000000000,-2400904182347809,-2400904182347809,12293456361526858649563236752,73976301733151834321,-37268,1640652688,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23043846,2000000000000000000,-47808088881171335,-47808088881171335,12242254193445558220395696170,73976301733151834321,-37351,1640653238,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23047351,1000000000000000000,-23755014503837934,-23755014503837934,12216812719547230767355266029,73976301733151834321,-37393,1640661090,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23052758,1618090452261306530,-38229329545762393,-38229329545762393,12175869343586254847020014922,73976301733151834321,-37460,1640672897,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
23053589,-1080678530877643674,25657731807892526,25657731807892526,12203266178154947454043621642,73976301733151834321,-37415,1640674611,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,4
23055204,1000000000000000000,-23604106046637428,-23604106046637428,12177986326282751925657860579,73976301733151834321,-37456,1640678075,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4
