block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
26376080,-9891812206465372,1000,1000,25076100817762452267063,3384837627507,-299334,1648283442,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26376455,200000000000000000,-19474,-19474,24620273193178766049139,3384837627507,-299701,1648284216,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x61fe5Aa74Be20D5CEd3f39C4127fC2E757518BaA,1
26376560,-20465476975200814,2000,2000,24666618625084692523425,3384837627507,-299663,1648284430,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26376763,-200503052767926528,20000,20000,25130072944143957266285,3384837627507,-299291,1648284848,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26376828,-29439360649156818,3000,3000,25199591092002846977714,3384837627507,-299236,1648284982,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26376963,-9777058086300582,1000,1000,25222763807955810214857,3384837627507,-299217,1648285264,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26377024,-9759109772941328,1000,1000,25245936523908773452000,3384837627507,-299199,1648285390,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26377071,-893044524114383930,100000,100000,27563208119205097166303,3384837627507,-297443,1648285484,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26377098,311663176991647962,-36196,-36196,26715972858907087789539,3384837627507,-298067,1648285542,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xd6aaB0F9aE043D3651Ad2d31c0ecCA310a9C0BEE,1
26377591,8883469555544,-1,-1,26715933943728238172484,2035919269970,-298067,1648286684,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x3Fb1460604076F7E09c8696b3F4142723eB66DaF,1
26378463,-5140785217916505,612,612,1461446703485210103287273052203988822378723970341,0,887271,1648288612,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26378561,100000000000000000,-7280,-7280,16713910042126166872459,52888087930,-307448,1648288816,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x61fe5Aa74Be20D5CEd3f39C4127fC2E757518BaA,1
26378662,100000000000000000,-3158,-3158,11982244942794118366580,52888087930,-314105,1648289022,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x61fe5Aa74Be20D5CEd3f39C4127fC2E757518BaA,1
26378688,100000000000000000,-1764,-1764,9338530804399984193902,52888087930,-319090,1648289078,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x61fe5Aa74Be20D5CEd3f39C4127fC2E757518BaA,1
