block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
26898705,10000000000000000000,-63242270063103337414,-63242270063103337414,200069814448580311711070490200,14144365112184509850686,18527,1649438807,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xdF43664AEC3B994E1dD159EC59d45ba87927255b,1
26906147,10376293541461622784,-65386133174005025700,-65386133174005025700,199703560951572744967238788208,14144365112184509850686,18490,1649456421,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26907984,10376293541461622784,-65147175184295479852,-65147175184295479852,199338645952425819622099053392,14144365112184509850686,18454,1649460779,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26929349,-5290911560945817917,33863206329519285181,33863206329519285181,199526430303092635075198873676,14144365112184509850686,18473,1649507806,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26933232,16000000000000000000,-100178325054953951421,-100178325054953951421,198965292029659386684211478889,14144365112184509850686,18416,1649516330,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xc41e82EAD71A346E3A708A268Fe33601dbf03534,1
26981073,-10395613622557000956,66345693627539631299,66345693627539631299,199333204119145328351500901451,14144365112184509850686,18453,1649621684,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26987967,10376293541461622784,-64905984030184810618,-64905984030184810618,198969640126692823084835321733,14144365112184509850686,18417,1649636591,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26991857,10376293541461622784,-64669650924634645614,-64669650924634645614,198607399929090459198402689548,14144365112184509850686,18380,1649645228,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26992072,10376293541461622784,-64434606263522698822,-64434606263522698822,198246476309253232727208234023,14144365112184509850686,18344,1649645702,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26997349,36811807720614678927,-226716521926386537364,-226716521926386537364,196976547733358435626399335429,14144365112184509850686,18215,1649657285,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xad7DE01Bed1675588904604E9b1751e46575Bf4F,1
27004068,10376293541461622784,-63381695300615869158,-63381695300615869158,196621521882719090750015484148,14144365112184509850686,18179,1649671452,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27004071,32869135802469135800,-199275498532530754985,-199275498532530754985,195505301291860205864998617372,14144365112184509850686,18066,1649671458,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xc91D9d8A6d2328099B971BC64281A9752c1d82bb,1
27005037,10376293541461622784,-62439257643321599938,-62439257643321599938,195155554405902517242225024656,14144365112184509850686,18030,1649673450,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27006520,10376293541461622784,-62216256642066480356,-62216256642066480356,194807056636425360107410610128,14144365112184509850686,17994,1649676764,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27006606,10376293541461622784,-61994448179032392625,-61994448179032392625,194459801303552244352685778033,14144365112184509850686,17958,1649676944,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27007510,10376293541461622784,-61773823766264287648,-61773823766264287648,194113781774951060739175097904,14144365112184509850686,17923,1649678821,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27009716,175295556324598840,-1041709489875075807,-1041709489875075807,194107946749617518056306645847,14144365112184509850686,17922,1649683524,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x59358988A281562C1904e2Ec1E04f8606097C792,1
27014974,10376293541461622784,-61550677706329787843,-61550677706329787843,193763177150027688833549147584,14144365112184509850686,17886,1649694630,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27015765,42511577381539756256,-250000000000000000000,-250000000000000000000,192544404983051955333793509285,20941313544208493105308,17760,1649696264,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xdAb5E902D2c6Ff7A7ebeb44c421c6F7FF9D74dF3,1
27022632,28680799882281754119,-167147692112728855977,-167147692112728855977,191912028007909729031582460358,20941313544208493105308,17694,1649711182,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x0bAF8B942dEEAAd8d849Ef81ec5B977D4eaA70b6,1
27023725,10376293541461622784,-60201447798987752598,-60201447798987752598,191684265309082687591574788604,20941313544208493105308,17671,1649713692,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27035498,-10409479377573472568,61621204921380180042,61621204921380180042,191915068094173226063393845306,20941313544208493105308,17695,1649739501,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27036082,-10394824912143952076,61682713095398751044,61682713095398751044,192146101258690577627785900748,20941313544208493105308,17719,1649740875,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27036291,-10402389053916399733,61876451081504079663,61876451081504079663,192377860070602003880547334012,20941313544208493105308,17743,1649741309,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27036888,-10398852645697049524,62004785202839965738,62004785202839965738,192610099559135451080662912914,20941313544208493105308,17767,1649742667,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
27043250,-3623979736001904870,21643737585979405910,21643737585979405910,192691166375679955091632765063,20941313544208493105308,17776,1649756729,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27045774,-20993457193844604480,125778264286674371631,125778264286674371631,193277603193271445892137597579,14144365112184509850686,17836,1649761967,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27046453,-51457651020593289403,312097455439292942389,312097455439292942389,195008302213444972634272780091,14144365112184509850686,18015,1649763719,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xC5C10beFFA6843cE3648Bba64184FCFD3388a403,1
27049099,-51335838057963133366,316978351049365600525,316978351049365600525,196766067655028542369473746520,14144365112184509850686,18194,1649769577,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xC5C10beFFA6843cE3648Bba64184FCFD3388a403,1
27049497,-51369094642284181746,322955670001115418404,322955670001115418404,198556979602207606421664392415,14144365112184509850686,18375,1649770397,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xC5C10beFFA6843cE3648Bba64184FCFD3388a403,1
27056417,22440000000000000000,-138983443990786075813,-138983443990786075813,197778478566639138173792490057,14144365112184509850686,18297,1649785442,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27059529,3653437348657088509,-22524679237829084075,-22524679237829084075,197652308962483552309813973717,14144365112184509850686,18284,1649791990,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x7AeD9910559877Aa80AF61bc6CE1e8082005065f,1
27059594,3649426630718727340,-22471278865378349240,-22471278865378349240,197526438474856230020946471386,14144365112184509850686,18271,1649792124,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x7AeD9910559877Aa80AF61bc6CE1e8082005065f,1
27059597,47196707818930041148,-288055424586346362807,-288055424586346362807,195912926534855288401544493372,14144365112184509850686,18107,1649792130,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xc91D9d8A6d2328099B971BC64281A9752c1d82bb,1
27060728,3677959744141618664,-22250143410477329284,-22250143410477329284,195788294714048258473005702917,14144365112184509850686,18094,1649794460,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x7AeD9910559877Aa80AF61bc6CE1e8082005065f,1
27060741,37810394647052697600,-227106569019365617951,-227106569019365617951,194516181330689452813680696297,14144365112184509850686,17964,1649794490,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
27071337,-16444149422248061597,100408369448728803704,100408369448728803704,195072983904992844607928764424,14144365112184509850686,18021,1649817776,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27072985,-17699086599770290313,108715345992097708448,108715345992097708448,195675851821751453967750839582,14144365112184509850686,18083,1649821348,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27088901,16880000000000000000,-101638329780431539371,-101638329780431539371,195106535486542772011755173987,14144365112184509850686,18025,1649856690,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27092625,-8302539139144089178,50931730582169328842,50931730582169328842,195388971292019719743210336437,14144365112184509850686,18054,1649865010,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27099715,-3336848254765269714,20511382517535730513,20511382517535730513,195502714704555835478684453908,14144365112184509850686,18065,1649880448,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27099726,-16508447763457898376,101828663839641158756,101828663839641158756,196067393351117650738439330003,14144365112184509850686,18123,1649880470,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27100472,-19674494388893650015,122128636820208074865,122128636820208074865,196744643063975295145504062859,14144365112184509850686,18192,1649882006,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27110008,-19318210862246761252,120740740941043413984,120740740941043413984,197414196366636989139020661307,14144365112184509850686,18260,1649902559,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27129047,16875760875485753639,-103423642598777491353,-103423642598777491353,196834879790838585390588562344,14144365112184509850686,18201,1649944818,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27131524,12800000000000000000,-78041308286160173132,-78041308286160173132,196397739671315273299812771779,14144365112184509850686,18157,1649950115,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27132546,11836084762096520603,-71856508290771951009,-71856508290771951009,195995243053657642355680631798,14144365112184509850686,18116,1649952231,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27133262,7317224825180479016,-44275512910117837619,-44275512910117837619,195747238459289287824642470802,14144365112184509850686,18090,1649953835,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x7AeD9910559877Aa80AF61bc6CE1e8082005065f,1
27134054,3658741234806049048,-22096542180955803656,-22096542180955803656,195623467019494654057212912494,14144365112184509850686,18078,1649955467,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x7AeD9910559877Aa80AF61bc6CE1e8082005065f,1
27137432,10375746815816445735,-62511402922028028518,-62511402922028028518,195273316019402421079013250676,14144365112184509850686,18042,1649962606,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27164029,-4698934399101360710,28856693693206045947,28856693693206045947,195433337354501046119972084754,14144365112184509850686,18058,1650020364,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27165339,-28711866482891882520,177355406856489888861,177355406856489888861,196416840499174104242059858751,14144365112184509850686,18159,1650023384,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27263405,71000000000000000000,-430671258935077772825,-430671258935077772825,195809064802051036852785381185,56141258452165455468288,18097,1650239164,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27263407,76365345500151070720,-460251209287746542226,-460251209287746542226,195159545026182354579186026671,56141258452165455468288,18030,1650239168,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
27265602,8250000000000000000,-49539767560025161782,-49539767560025161782,195089633077940069269673413025,56141258452165455468288,18023,1650244340,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27271210,245056627546613829178,-1457282074211391127318,-1457282074211391127318,193300605431917297925378533367,65766308643412031559801,17839,1650256538,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xc91D9d8A6d2328099B971BC64281A9752c1d82bb,1
27271477,16450000000000000000,-96882660001304690427,-96882660001304690427,193183891641988531838869549234,65766308643412031559801,17827,1650257132,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27271896,70000000000000000000,-411004488594581824039,-411004488594581824039,192731241207653994394416810677,80392811733771574447409,17780,1650257998,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27272020,3836058228359890669,-22470645617281572835,-22470645617281572835,192709096093876134690857073107,80392811733771574447409,17777,1650258254,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x7AeD9910559877Aa80AF61bc6CE1e8082005065f,1
27280106,114185964591268349760,-666515624934250643631,-666515624934250643631,192052236268827820387257362095,80392811733771574447409,17709,1650275869,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x714696C5a872611F76655Bc163D0131cBAc60a70,1
27293678,-658358650463396633097,3999826000000000000000,3999826000000000000000,196932235395723752086124616491,56141258452165455468288,18211,1650305416,0x1111111254fb6c44bAC0beD2854e76F90643097d,0x1111111254fb6c44bAC0beD2854e76F90643097d,1
27300336,-1211797737194761087,7562975573961239403,7562975573961239403,196942801754007152474982665968,56141258452165455468288,18212,1650320019,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27300338,-96966190651682162213,607819738369119932651,607819738369119932651,197791996765219775342718992821,56141258452165455468288,18298,1650320023,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
27302151,-31627915260020709035,199390686200547170500,199390686200547170500,198070568791291327060996352976,56141258452165455468288,18326,1650324023,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
27303493,-70135363284770637750,444161675950475465707,444161675950475465707,198691114416217916099398365774,56141258452165455468288,18389,1650326919,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xC5C10beFFA6843cE3648Bba64184FCFD3388a403,1
27316100,89120368696362013075,-552715462057317094489,-552715462057317094489,197911106421040267023352258683,56141258452165455468288,18310,1650355191,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27322746,-159663823064399725587,1013544140299127818718,1013544140299127818718,199324341729281501428812799367,56252647383474205509673,18452,1650369932,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
27357468,-70125693372487090986,449746397418536106410,449746397418536106410,199951445634592014457613794075,56252647383474205509673,18515,1650447972,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xC5C10beFFA6843cE3648Bba64184FCFD3388a403,1
27358659,-70105542622434329429,452453999824368369002,452453999824368369002,200581969086295467987994820405,56284390282634217670791,18578,1650450705,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xC5C10beFFA6843cE3648Bba64184FCFD3388a403,1
27367883,70000000000000000000,-442798552852037202165,-442798552852037202165,199958668104792850927161677312,56284390282634217670791,18516,1650471176,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27371840,70000000000000000000,-440055118025428401816,-440055118025428401816,199339228892054155561936947043,56284390282634217670791,18454,1650480088,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27399787,-70117726367203766599,449410336189240916493,449410336189240916493,199809815886610577136850015732,74906225644646688396629,18501,1650540673,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xC5C10beFFA6843cE3648Bba64184FCFD3388a403,1
27400312,-5000634018664173784,32131978898106588416,32131978898106588416,199843461956051318982671934267,74906225644646688396629,18504,1650541758,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x7AeD9910559877Aa80AF61bc6CE1e8082005065f,1
27402709,-70123549243944636179,451727095140136970285,451727095140136970285,200316474877525796081771334509,74906225644646688396629,18552,1650547002,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xC5C10beFFA6843cE3648Bba64184FCFD3388a403,1
27411732,19764570637301798798,-125000000000000000000,-125000000000000000000,200184262631760469424326056389,74906225644646688396629,18539,1650566204,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x3C06b5851012CEf57bFFf806c93c7C69cF66ebe8,1
27413911,70000000000000000000,-441478418198257681009,-441478418198257681009,199758596501426884818645913543,82171263746403420329158,18496,1650570698,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27414470,70000000000000000000,-439604907639135714770,-439604907639135714770,199334736778738537411531251032,82171263746403420329158,18453,1650571852,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27415254,70000000000000000000,-437743297808194754800,-437743297808194754800,198912671989211728464455743502,82171263746403420329158,18411,1650573468,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27418525,70000000000000000000,-435893488125563767958,-435893488125563767958,198492390755340193983848707320,82171263746403420329158,18369,1650580219,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27418563,70000000000000000000,-434055379071703984711,-434055379071703984711,198073881795572750030782251702,82171263746403420329158,18327,1650580299,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27418658,70000000000000000000,-432228872174023250984,-432228872174023250984,197657133923303844249429819792,82171263746403420329158,18284,1650580493,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27428084,-30719979814671420570,193311103169202991063,193311103169202991063,197841657392597426513727908250,82171263746403420329158,18303,1650600586,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
