block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
26799664,5010000000000000000,-31717624122004658052,-31717624122004658052,198893460826664423599449741319,1663576585949140680607,18409,1649218740,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
26815576,10776467616770403583,-66629810974443620767,-66629810974443620767,195720202957585877680174250843,1663576585949140680607,18087,1649253167,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1
26825842,-1307366439562085389,8017856360440957961,8017856360440957961,196100909389745402878200737269,1663576585949140680607,18126,1649275913,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
26844520,-1069771810834710429,6583969889733933773,6583969889733933773,196413531563738614103535356474,1663576585949140680607,18158,1649317320,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
26844777,-9533118310822512662,59612518628912071535,59612518628912071535,199244072329126957397665127768,1663576585949140680607,18444,1649317978,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26862018,-2957211334573072649,18842766820472130684,18842766820472130684,200138770638219800911040485256,1663576585949140680607,18534,1649357633,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
26883134,-7890768563825522035,51116671256715034766,51116671256715034766,202565908848631076988689089064,1663576585949140680607,18775,1649405080,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1
26891795,10376293541461622784,-66567192373947726471,-66567192373947726471,199395633202732640302142502842,1663576585949140680607,18460,1649424051,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x4dEb2d750b790F2a1A81ed51D9694675ae8628b8,1
26893635,-10407890007509457916,67178799231772358834,67178799231772358834,202585438535049985154576908907,1663576585949140680607,18777,1649428231,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26898258,3071554508512133632,-19928346443519806556,-19928346443519806556,201636347111184502167414532540,1663576585949140680607,18683,1649437885,0x41B5B3779FaAbe1CAD61d190D2379c44b4c18fa2,0x4dEb2d750b790F2a1A81ed51D9694675ae8628b8,1
26905638,2870403849287228416,-18455227656689431002,-18455227656689431002,200757413259643363666036789420,1663576585949140680607,18596,1649455282,0x41B5B3779FaAbe1CAD61d190D2379c44b4c18fa2,0x4dEb2d750b790F2a1A81ed51D9694675ae8628b8,1
26907287,3510000000000000000,-22349999538131591335,-22349999538131591335,199692990130250414612335724045,1663576585949140680607,18489,1649459085,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x4E04bf391E44470baa7f908390513Fe6cFcf083b,1
26909280,1242016425000000000,-7851903264816889827,-7851903264816889827,199319041690986786961113223212,1663576585949140680607,18452,1649463773,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57,1
