block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
24697532,-2978230772546777,50000000000000,50000000000000,10250365525143089263278224150,13153995797924031245,-40903,1644328675,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,3
24697536,-2978056301520251,50000000000000,50000000000000,10250665777930303882324544461,13153995797924031245,-40902,1644328687,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,3
24697541,-2977881845824596,50000000000000,50000000000000,10250966030717518501370864772,13153995797924031245,-40902,1644328697,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,3
24699292,-2828416277374878833,48850869811683226,48850869811683226,10544318227093846116602458378,13153995797924031245,-40337,1644332622,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,3
24713282,-52043926310100815640,926447836379567239,926447836379567239,10565419356398633112141786398,3468087248100138630696,-40297,1644362819,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x7AeD9910559877Aa80AF61bc6CE1e8082005065f,3
24713284,-275953226890461171960,4974936168640795425,4974936168640795425,10678730400210647442039129288,3468087248100138630696,-40084,1644362823,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,3
24724495,55667757292740804,-1008272735476676,-1008272735476676,10678707366304511196697634575,3468087248100138630696,-40084,1644386963,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,3
24724546,55762673393068804,-1009987526326129,-1009987526326129,10678684293224121716280328748,3468087248100138630696,-40084,1644387069,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,3
24724707,55763576967816000,-1009999527517985,-1009999527517985,10678661219869566013752671394,3468087248100138630696,-40084,1644387471,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,3
24724843,55762393409380286,-1009973726254679,-1009973726254679,10678638147104438008986406929,3468087248100138630696,-40084,1644387807,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,3
24735620,-216472494905011772275,3977858194801946827,3977858194801946827,10769239362659798434156841361,3468087248100138630696,-39915,1644410694,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xF2e4209afA4C3c9eaA3Fb8e12eeD25D8f328171C,3
24744493,1000000000000000000,-18419976868925226,-18419976868925226,10768818559832049603779768171,3468087248100138630696,-39916,1644429657,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x88215a2794ddC031439C72922EC8983bDE831c78,3
