block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
25614533,10000000000000000,-62463639020950162,-62463639020950162,198061438633112573834671019396,2861392142766935723992,18325,1646497230,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x03B3Bf2c6A8CD0FA73EF831CCAf0Eb308773DBDf,1
25614569,10000000000000000,-62462548135249964,-62462548135249964,198059709127799146499618422097,2861392142766935723992,18325,1646497302,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x03B3Bf2c6A8CD0FA73EF831CCAf0Eb308773DBDf,1
25614853,17812982320205882,-111261724350740688,-111261724350740688,198056628437862690011676749314,2861392142766935723992,18325,1646497890,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x972969efaCc656Db1AB5BA923D690D2329864810,1
25615212,10000000000000,-62460059059994,-62460059059994,198056626708426295784867944569,2861392142766935723992,18325,1646498628,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x972969efaCc656Db1AB5BA923D690D2329864810,1
25615367,17798341868885551,-111166819752943559,-111166819752943559,198053548646272583660988680150,2861392142766935723992,18325,1646498966,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x972969efaCc656Db1AB5BA923D690D2329864810,1
25618189,10000000000000000,-62457571732791765,-62457571732791765,198051819278749156096215979071,2861392142766935723992,18324,1646505371,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xb6C384660D2Db2836823842892F42451C37e69E8,1
25620071,177747714382316687,-1109987091611644496,-1109987091611644496,198021085204810620785737237480,2861392142766935723992,18321,1646509588,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xB7A0946B3057148d0618B7C1857127bBddAD8940,1
25620925,17716185802731154,-110613978387349531,-110613978387349531,198018022450102855422847291055,2861392142766935723992,18321,1646511535,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xb6C384660D2Db2836823842892F42451C37e69E8,1
25673998,-1597813128826493355,10000000000000000000,10000000000000000000,198294770775679903812185974171,2861392142766935723992,18349,1646630552,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
25679028,100000000000000000,-626048800080667930,-626048800080667930,198277436312733245966622684946,2861392142766935723992,18347,1646641572,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xb6C384660D2Db2836823842892F42451C37e69E8,1
